,Game,Pos,Genre,Console,Publisher,Developer,VGChartz_Score,Critic_Score,User_Score,NA_Sales,PAL_Sales,Japan_Sales,Other_Sales,Total_Sales,Relese_Month,Relese_Year,Hit_Games
25,Devil May Cry 4,26,Action,All,Capcom,Capcom,0.0,0.0,0.0,0,0,0,0,4800000,2,2008,1
26,God of War,27,Action,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,0.0,9.3,0.0,0,0,0,0,4620000,3,2005,1
27,Dead Island,28,Action,PC,Deep Silver,Techland,0.0,7.1,0.0,0,0,0,0,4520000,9,2011,1
28,Monster Hunter Generations,29,Action,3DS,Capcom,Capcom,0.0,8.8,0.0,0,0,0,0,4300000,7,2016,1
29,God of War II,30,Action,PS2,Sony Computer Entertainment,SCEA Santa Monica Studio,0.0,9.3,9.8,0,0,0,0,4240000,3,2007,1
30,7 Days to Die,31,Action,PC,The Fun Pimps,The Fun Pimps,0.0,0.0,0.0,0,0,0,0,4180000,12,2013,1
31,Just Cause 2    Read the review,32,Action,PC,Eidos Interactive,Avalanche Studios,7.8,8.2,0.0,0,0,0,0,4160000,3,2010,1
32,The Last of Us Part II    Read the review,33,Action,PS4,Sony Interactive Entertainment,Naughty Dog,7.0,0.0,0.0,0,0,0,0,4000000,6,2020,1
33,Super Mario Run,34,Action,iOS,Nintendo,Nintendo,0.0,0.0,0.0,0,0,0,0,4000000,12,2016,1
34,Monster Hunter: World,35,Action,PS4,Capcom,Capcom,0.0,9.3,9.0,0,0,0,0,4000000,1,2018,1
35,Sengoku BASARA,36,Action,Series,Capcom,Capcom,0.0,0.0,0.0,0,0,0,0,4000000,10,2005,1
36,Hyrule Warriors: Age of Calamity    Read the review,37,Action,NS,Nintendo,Koei Tecmo Games,5.0,9.0,0.0,0,0,0,0,4000000,11,2020,1
37,The Lord of the Rings: The Two Towers,38,Action,All,Electronic Arts,Stormfront Studios,0.0,0.0,0.0,0,0,0,0,4000000,10,2002,1
38,Resident Evil VII: Biohazard    Read the review,39,Action,PS4,Capcom,Capcom,0.0,8.6,0.0,0,0,0,0,3830000,1,2017,1
39,DmC: Devil May Cry,40,Action,All,Capcom,Ninja Theory,0.0,0.0,0.0,0,0,0,0,3800000,1,2013,1
40,Diablo III: Reaper of Souls,41,Action,PC,Blizzard Entertainment,Blizzard Entertainment,0.0,0.0,0.0,0,0,0,0,3700000,3,2014,1
41,Metal Gear Solid 3: Snake Eater,42,Action,PS2,Konami,KCEJ / Kojima Productions,0.0,9.0,0.0,0,0,0,0,3600000,11,2004,1
42,Resident Evil 3: Nemesis,43,Action,PS,Capcom,Capcom,0.0,9.4,0.0,0,0,0,0,3500000,11,1999,1
43,Kung Fu,44,Action,NES,Nintendo,Irem Software Engineering,0.0,0.0,0.0,0,0,0,0,3500000,10,1985,1
44,Dying Light,45,Action,PC,Warner Bros. Interactive Entertainment,Techland,0.0,0.0,0.0,0,0,0,0,3470000,2,2016,1
45,Luigi's Mansion,46,Action,GC,Nintendo,Nintendo EAD,0.0,7.9,0.0,0,0,0,0,3330000,11,2001,1
46,God of War: Chains of Olympus    Read the review,47,Action,PSP,Sony Computer Entertainment,Ready at Dawn,7.9,8.9,9.5,0,0,0,0,3260000,3,2008,1
47,Final Fight,48,Action,Series,Capcom,Capcom,0.0,0.0,0.0,0,0,0,0,3200000,12,1989,1
48,New Super Luigi U,49,Action,WiiU,Nintendo,Nintendo,0.0,7.8,0.0,0,0,0,0,3070000,8,2013,1
49,Dishonored,50,Action,PC,Bethesda Softworks,Arkane Studios,0.0,0.0,0.0,0,0,0,0,3000000,4,2013,1
50,God of War: Ascension,51,Action,PS3,Sony Computer Entertainment,SCEA Santa Monica Studio,0.0,0.0,0.0,0,0,0,0,3000000,3,2013,1
51,Dead Rising 3    Read the review,52,Action,XOne,Microsoft Studios,Capcom,7.9,0.0,0.0,0,0,0,0,3000000,11,2013,1
52,Warhammer: Vermintide,53,Action,Series,Fatshark,Fatshark,0.0,0.0,0.0,0,0,0,0,3000000,10,2015,1
53,Dead Rising,54,Action,All,Capcom,Capcom,0.0,0.0,0.0,0,0,0,0,3000000,8,2006,1
54,Nioh,55,Action,All,Koei Tecmo,Team Ninja,0.0,0.0,0.0,0,0,0,0,3000000,2,2017,1
55,Chivalry,56,Action,Series,Torn Banner Studios,Torn Banner Studios,0.0,0.0,0.0,0,0,0,0,3000000,9,2007,1
56,Warriors Orochi,57,Action,Series,KOEI,Omega Force,0.0,0.0,0.0,0,0,0,0,2930000,9,2007,1
57,Nioh,58,Action,PS4,Sony Interactive Entertainment,Team Ninja,0.0,0.0,0.0,0,0,0,0,2900000,2,2017,1
58,Middle-Earth: Shadow of Mordor,59,Action,PS4,Warner Bros. Interactive Entertainment,Monolith Productions,0.0,0.0,0.0,0,0,0,0,2880000,9,2014,1
59,Hitman: Absolution,60,Action,PC,Square Enix,IO Interactive,0.0,9.0,0.0,0,0,0,0,2810000,11,2012,1
60,The Binding of Isaac: Rebirth,61,Action,PC,Nicalis,Nicalis,0.0,0.0,0.0,0,0,0,0,2760000,11,2014,1
61,Resident Evil,62,Action,PS,Capcom,Capcom,0.0,8.6,0.0,0,0,0,0,2750000,3,1996,1
62,Dragon Ball: Xenoverse 2,63,Action,PS4,Namco Bandai Games,Dimps Corporation,0.0,7.1,0.0,0,0,0,0,2670000,10,2016,1
63,Star Wars: Shadows of the Empire,64,Action,N64,Nintendo,LucasArts,0.0,0.0,0.0,0,0,0,0,2650000,12,1996,1
64,Hotline Miami,65,Action,PC,Devolver Digital,Dennaton Games,0.0,0.0,0.0,0,0,0,0,2580000,10,2012,1
65,Streets of Rage 4,66,Action,All,DotEmu,DotEmu,0.0,0.0,0.0,0,0,0,0,2500000,4,2020,1
66,Batman: Arkham City,67,Action,PC,Warner Bros. Interactive,Rocksteady Studios,0.0,9.0,0.0,0,0,0,0,2470000,11,2011,1
67,Bayonetta,68,Action,Series,Sega,PlatinumGames,0.0,0.0,0.0,0,0,0,0,2420000,1,2010,1
68,God of War Collection    Read the review,69,Action,PS3,Sony Computer Entertainment,Bluepoint Games,9.0,9.2,0.0,0,0,0,0,2420000,11,2009,1
69,Dino Crisis,70,Action,PS,Capcom,Capcom Production Studio 4,0.0,8.9,0.0,0,0,0,0,2400000,8,1999,1
70,Mafia II,71,Action,PC,2K Games,Illusion Softworks,0.0,7.6,0.0,0,0,0,0,2310000,8,2010,1
71,Resident Evil 4,72,Action,PS2,Capcom,Capcom Production Studio 4,0.0,9.6,9.3,0,0,0,0,2300000,10,2005,1
72,Devil May Cry 3,73,Action,All,Capcom,Capcom,0.0,0.0,0.0,0,0,0,0,2300000,3,2005,1
73,Dynasty Warriors 4,74,Action,PS2,KOEI,Omega Force,0.0,0.0,0.0,0,0,0,0,2250000,3,2003,1
74,Batman: Arkham Asylum,75,Action,PC,Eidos Interactive,Rocksteady Studios,0.0,9.3,0.0,0,0,0,0,2240000,9,2009,1
75,Devil May Cry,76,Action,PS2,Capcom,Capcom,0.0,9.1,9.3,0,0,0,0,2160000,10,2001,1
76,How to Survive 2,77,Action,PC,Unknown,EKO Software,0.0,0.0,0.0,0,0,0,0,2150000,2,2019,1
77,LEGO City Undercover: The Chase Begins,78,Action,3DS,Nintendo,TT Fusion,0.0,6.2,0.0,0,0,0,0,2040000,4,2013,1
78,Onimusha: Warlords,79,Action,PS2,Capcom,Flagship,0.0,8.7,7.3,0,0,0,0,2020000,3,2001,1
79,Saints Row,80,Action,X360,THQ,Volition Inc.,0.0,8.0,0.0,0,0,0,0,2000000,8,2006,1
80,Resident Evil 4    Read the review,81,Action,Wii,Capcom,Capcom Production Studio 4,9.0,9.2,9.7,0,0,0,0,2000000,6,2007,1
81,inFAMOUS    Read the review,82,Action,PS3,Sony Computer Entertainment,Sucker Punch Productions,8.2,8.7,9.1,0,0,0,0,2000000,5,2009,1
82,Chivalry: Medieval Warfare,83,Action,PC,Media.Vision,Torn Banner Studios,0.0,0.0,0.0,0,0,0,0,2000000,10,2012,1
83,Warhammer: Vermintide 2,84,Action,All,Fatshark,Fatshark,0.0,0.0,0.0,0,0,0,0,2000000,3,2018,1
84,Broforce,85,Action,PC,Devolver Digital,Free Lives Games,0.0,0.0,0.0,0,0,0,0,1860000,4,2014,1
85,Alan Wake,86,Action,PC,Remedy Entertainment,Remedy Entertainment,0.0,0.0,0.0,0,0,0,0,1800000,2,2012,1
86,Dead Rising,87,Action,X360,Capcom,Capcom Production Studio 1,0.0,8.4,0.0,0,0,0,0,1800000,8,2006,1
87,Monster Hunter Double Cross,88,Action,3DS,Capcom,Capcom,0.0,0.0,0.0,0,0,0,0,1800000,3,2017,1
88,Friday the 13th: The Game,89,Action,All,Gun Media,IllFonic,0.0,0.0,0.0,0,0,0,0,1800000,5,2017,1
89,Samurai Warriors,90,Action,PS2,KOEI,Omega Force,0.0,0.0,0.0,0,0,0,0,1790000,5,2004,1
90,Mad Max (2013),91,Action,PC,Warner Bros. Interactive Entertainment,Avalanche Studios,0.0,0.0,0.0,0,0,0,0,1780000,9,2015,1
91,Bayonetta,92,Action,All,Sega,PlatinumGames,0.0,0.0,0.0,0,0,0,0,1770000,1,2010,1
92,Dynasty Warriors 3,93,Action,PS2,KOEI,Omega Force,0.0,0.0,0.0,0,0,0,0,1770000,11,2001,1
93,Metal Gear Solid V: The Phantom Pain,94,Action,PC,Konami Digital Entertainment,Kojima Productions,0.0,0.0,0.0,0,0,0,0,1750000,9,2015,1
94,Cuphead,95,Action,PC,Studio MDHR,Studio MDHR,0.0,0.0,0.0,0,0,0,0,1740000,9,2017,1
95,Devil May Cry 2,96,Action,PS2,Capcom,Capcom,0.0,6.5,0.0,0,0,0,0,1700000,1,2003,1
96,Dynasty Warriors 5,97,Action,PS2,KOEI,Omega Force,0.0,0.0,0.0,0,0,0,0,1700000,3,2005,1
97,Final Fantasy Tactics Advance,98,Action,GBA,Nintendo,Square Enix,0.0,0.0,0.0,0,0,0,0,1700000,9,2003,1
98,Resident Evil 4,99,Action,GC,Capcom,Capcom Production Studio 4,0.0,9.6,0.0,0,0,0,0,1600000,1,2005,1
99,Kirby: Planet Robobot,100,Action,3DS,Nintendo,HAL Laboratory,0.0,7.7,0.0,0,0,0,0,1600000,6,2016,1
100,Mark of the Ninja,101,Action,PC,Microsoft Studios,Klei Entertainment,0.0,9.3,0.0,0,0,0,0,1560000,10,2012,1
101,Hitman,102,Action,PC,Square Enix,IO Interactive,0.0,0.0,0.0,0,0,0,0,1530000,3,2016,1
102,Onimusha 3: Demon Siege,103,Action,PS2,Capcom,Capcom,0.0,0.0,0.0,0,0,0,0,1520000,4,2004,1
103,How to Survive,104,Action,PC,505 Games,EKO Software,0.0,0.0,0.0,0,0,0,0,1510000,10,2013,1
104,Heavenly Sword,105,Action,PS3,Sony Computer Entertainment,Ninja Theory,0.0,8.0,0.0,0,0,0,0,1500000,9,2007,1
105,American McGee's Alice,106,Action,PC,Electronic Arts,Rogue Entertainment,0.0,0.0,0.0,0,0,0,0,1500000,12,2000,1
106,Warriors Orochi,107,Action,All,KOEI,Omega Force,0.0,0.0,0.0,0,0,0,0,1500000,9,2007,1
107,Persona 5 Strikers,108,Action,All,Sega,Omega Force,0.0,0.0,0.0,0,0,0,0,1500000,2,2021,1
108,Final Fight,109,Action,SNES,Capcom,Capcom,0.0,10.0,0.0,0,0,0,0,1480000,11,1991,1
109,The Incredible Hulk,110,Action,All,Sega,Edge of Reality,0.0,0.0,0.0,0,0,0,0,1480000,6,2008,1
110,Resident Evil Outbreak,111,Action,PS2,Capcom,Capcom Production Studio 1,0.0,7.1,0.0,0,0,0,0,1450000,3,2004,1
111,One Piece Pirate Warriors,112,Action,PS3,Namco Bandai Games,Omega Force,0.0,0.0,0.0,0,0,0,0,1450000,9,2012,1
112,Attack on Titan,113,Action,Series,Spike Chunsoft,Spike Chunsoft,0.0,0.0,0.0,0,0,0,0,1440000,12,2013,1
113,Resident Evil - Code: Veronica X,114,Action,PS2,Capcom,Capcom,0.0,8.4,0.0,0,0,0,0,1400000,8,2001,1
114,Pokémon Rumble Blast,115,Action,3DS,Nintendo,Ambrella,0.0,5.3,0.0,0,0,0,0,1400000,10,2011,1
115,Nioh 2,116,Action,PS4,Sony Interactive Entertainment,Team Ninja,0.0,0.0,0.0,0,0,0,0,1400000,3,2020,1
116,Batman: Arkham Knight,117,Action,PC,Warner Bros. Interactive Entertainment,Rocksteady Studios,0.0,0.0,0.0,0,0,0,0,1400000,6,2015,1
117,Kid Icarus: Uprising,118,Action,3DS,Nintendo,Project Sora,0.0,8.0,0.0,0,0,0,0,1360000,3,2012,1
118,Resident Evil,119,Action,GC,Capcom,Capcom,0.0,8.9,0.0,0,0,0,0,1350000,4,2002,1
119,Geometry Dash,120,Action,PC,Unknown,RobTop Games,0.0,0.0,0.0,0,0,0,0,1320000,2,2019,1
120,Resident Evil 6,121,Action,PC,Capcom,Capcom,0.0,0.0,0.0,0,0,0,0,1320000,3,2013,1
121,Thief,122,Action,PC,Square Enix,Eidos Montreal,0.0,0.0,0.0,0,0,0,0,1310000,2,2014,1
122,Marvel Ultimate Alliance 3: The Black Order,123,Action,NS,Nintendo,Team Ninja,0.0,0.0,0.0,0,0,0,0,1310000,7,2019,1
123,Who's Your Daddy,124,Action,PC,Unknown,Evil Tortilla Games,0.0,0.0,0.0,0,0,0,0,1310000,2,2019,1
124,Devil May Cry 3: Dante's Awakening,125,Action,PS2,Capcom,Capcom,0.0,8.6,0.0,0,0,0,0,1300000,3,2005,1
125,The Escapists,126,Action,PC,Team17 Software,Mouldy Toof Studios,0.0,0.0,0.0,0,0,0,0,1300000,8,2014,1
126,Resident Evil Zero,127,Action,GC,Capcom,Capcom Production Studio 3 / Flagship,0.0,8.2,0.0,0,0,0,0,1250000,11,2002,1
127,Astral Chain,128,Action,NS,Nintendo,PlatinumGames,0.0,0.0,0.0,0,0,0,0,1210000,8,2019,1
128,Ninja Gaiden,129,Action,XB,Tecmo,Team Ninja,0.0,9.4,0.0,0,0,0,0,1200000,3,2004,1
129,Dino Crisis 2,130,Action,PS,Capcom,Capcom Production Studio 4,0.0,8.8,0.0,0,0,0,0,1200000,9,2000,1
130,Resident Evil Director's Cut: Dual Shock Edition,131,Action,PS,Capcom,Capcom,0.0,0.0,0.0,0,0,0,0,1200000,1,1998,1
131,Dead Rising 4,132,Action,All,Microsoft Studios,Capcom,0.0,0.0,0.0,0,0,0,0,1200000,12,2016,1
132,Devil May Cry HD Collection,133,Action,All,Capcom,Capcom,0.0,0.0,0.0,0,0,0,0,1200000,3,2012,1
133,God of War: Ghost of Sparta,134,Action,PSP,Sony Computer Entertainment,Ready at Dawn,0.0,8.3,0.0,0,0,0,0,1200000,11,2010,1
134,Ninja Gaiden II,135,Action,X360,Microsoft,Team Ninja,0.0,8.2,0.0,0,0,0,0,1150000,6,2008,1
135,LEGO City Undercover,136,Action,WiiU,Nintendo,TT Fusion,0.0,7.5,0.0,0,0,0,0,1150000,3,2013,1
136,Resident Evil - Code: Veronica,137,Action,DC,Capcom,Capcom,0.0,9.2,0.0,0,0,0,0,1140000,2,2000,1
137,Commando,138,Action,NES,Capcom,Capcom,0.0,0.0,0.0,0,0,0,0,1140000,11,1986,1
138,Resident Evil Director's Cut,139,Action,PS,Capcom,Capcom,0.0,8.3,0.0,0,0,0,0,1130000,1,1997,1
139,Ninja Gaiden Sigma,140,Action,PS3,Tecmo,Team Ninja,0.0,8.8,0.0,0,0,0,0,1100000,7,2007,1
140,Dragon Ball: Xenoverse 2,141,Action,XOne,Namco Bandai Games,Dimps Corporation,0.0,0.0,0.0,0,0,0,0,1100000,10,2016,1
141,Resident Evil: Revelations Collection,142,Action,NS,Capcom,Capcom,0.0,0.0,0.0,0,0,0,0,1100000,11,2017,1
142,TMNT,143,Action,All,Ubisoft,Ubisoft Montreal,0.0,0.0,0.0,0,0,0,0,1100000,3,2007,1
143,Super Hexagon,144,Action,PC,Unknown,Terry Cavanagh,0.0,0.0,0.0,0,0,0,0,1050000,2,2019,1
144,Resident Evil VII: Biohazard,145,Action,XOne,Capcom,Capcom,0.0,7.9,0.0,0,0,0,0,1040000,1,2017,1
145,Assassin's Creed Origins,146,Action,PC,Ubisoft,Ubisoft Montreal,0.0,0.0,0.0,0,0,0,0,1030000,10,2017,1
146,Final Fight 2,147,Action,SNES,Capcom,Capcom,0.0,0.0,0.0,0,0,0,0,1030000,8,1993,1
147,Resident Evil 5,148,Action,PC,Capcom,Capcom,0.0,8.9,0.0,0,0,0,0,1010000,9,2009,1
148,Devil May Cry 3: Dante's Awakening Special Edition,149,Action,PS2,Capcom,Capcom,0.0,8.8,8.6,0,0,0,0,1000000,1,2006,1
149,Silent Hill 2,150,Action,PS2,Konami,KCET,0.0,0.0,0.0,0,0,0,0,1000000,9,2001,1
150,Hyrule Warriors,151,Action,WiiU,Nintendo,Omega Force,0.0,7.4,0.0,0,0,0,0,1000000,9,2014,1
151,Soma,152,Action,PC,Frictional Games,Frictional Games,0.0,0.0,0.0,0,0,0,0,1000000,1,2016,1
152,Monster Strike 3DS,153,Action,3DS,"mixi, Inc","mixi, Inc",0.0,0.0,0.0,0,0,0,0,1000000,12,2015,1
153,ARK: Survival Evolved,154,Action,PS4,Studio Wildcard,Studio Wildcard,0.0,0.0,0.0,0,0,0,0,1000000,8,2017,1
154,Enter the Gungeon,155,Action,NS,Devolver Digital,Dodge Roll,0.0,0.0,8.4,0,0,0,0,1000000,12,2017,1
155,Mordhau,156,Action,PC,Triternion,Triternion,0.0,0.0,0.0,0,0,0,0,1000000,4,2019,1
156,Warhammer: Vermintide 2,157,Action,PC,Unknown,Fatshark AB,0.0,0.0,0.0,0,0,0,0,1000000,6,2019,1
157,Fire Emblem Warriors,158,Action,All,Nintendo,Omega Force,0.0,0.0,0.0,0,0,0,0,1000000,10,2017,1
158,Warhammer: End Times – Vermintide,159,Action,All,Fatshark,Fatshark,0.0,0.0,0.0,0,0,0,0,1000000,10,2015,1
159,Lollipop Chainsaw,160,Action,All,Warner Bros. Interactive Entertainment,Grasshopper Manufacture,0.0,0.0,0.0,0,0,0,0,1000000,6,2012,1
160,Star Wars: Episode III – Revenge of the Sith,161,Action,All,LucasArts,The Collective,0.0,0.0,0.0,0,0,0,0,1000000,5,2005,1
161,Ghostrunner,162,Action,All,505 Games,One More Level,0.0,0.0,0.0,0,0,0,0,1000000,10,2020,1
162,Chivalry 2,163,Action,All,Tripwire Interactive,Torn Banner Studios,0.0,0.0,0.0,0,0,0,0,1000000,6,2021,1
163,Sifu,164,Action,All,Sloclap,Sloclap,0.0,0.0,0.0,0,0,0,0,1000000,2,2022,1
164,Scarlet Nexus,165,Action,All,Bandai Namco Entertainment,Bandai Namco Games,0.0,0.0,0.0,0,0,0,0,1000000,6,2021,1
165,Gauntlet,166,Action,PC,Mindscape,Mindscape Inc.,0.0,0.0,0.0,0,0,0,0,1000000,1,1988,1
166,Lego Marvel Super Heroes,167,Action,PC,Warner Bros. Interactive Entertainment,Traveller's Tales,0.0,0.0,0.0,0,0,0,0,990000,10,2013,0
167,DmC Devil May Cry,168,Action,PC,Capcom,QLOC,0.0,0.0,0.0,0,0,0,0,990000,1,2013,0
168,Ryse: Son of Rome,169,Action,PC,Crytek,Crytek,0.0,0.0,0.0,0,0,0,0,980000,10,2014,0
169,Warriors Orochi 4,170,Action,All,Koei Tecmo,Omega Force,0.0,0.0,0.0,0,0,0,0,950000,10,2018,0
170,Getting Over It with Bennett Foddy,171,Action,PC,Unknown,Bennett Foddy,0.0,0.0,0.0,0,0,0,0,950000,2,2019,0
171,Mount Your Friends,172,Action,PC,Unknown,Unknown,0.0,0.0,0.0,0,0,0,0,940000,7,2014,0
172,Magicka 2,173,Action,PC,Paradox Interactive,Paradox Interactive,0.0,0.0,0.0,0,0,0,0,860000,5,2015,0
173,Dead Cells,174,Action,PC,Motion Twin,Motion Twin,0.0,0.0,0.0,0,0,0,0,830000,5,2017,0
174,Raft,175,Action,PC,Unknown,Redbeet Interactive,0.0,0.0,0.0,0,0,0,0,810000,2,2019,0
175,Resident Evil 2: Dual Shock Edition,176,Action,PS,Capcom,Capcom,0.0,9.0,0.0,0,0,0,0,810000,8,1998,0
176,Nidhogg,177,Action,PC,Messhof,Messhof,0.0,0.0,0.0,0,0,0,0,790000,1,2014,0
177,Defy Gravity Extended,178,Action,PC,Unknown,Fish Factory Games,0.0,0.0,0.0,0,0,0,0,750000,7,2011,0
178,Dynasty Warriors 9,179,Action,All,Koei Tecmo,Omega Force,0.0,0.0,0.0,0,0,0,0,730000,2,2018,0
179,Devil May Cry HD Collection,180,Action,PS3,Capcom,Capcom,0.0,0.0,0.0,0,0,0,0,720000,4,2012,0
180,Guacamelee!,181,Action,PC,DrinkBox Studios,DrinkBox Studios,0.0,0.0,0.0,0,0,0,0,720000,8,2013,0
181,God of War: Origins Collection,182,Action,PS3,Sony Computer Entertainment,Ready at Dawn,0.0,8.6,0.0,0,0,0,0,710000,9,2011,0
182,Resident Evil 4,183,Action,PC,Ubisoft,SourceNext,0.0,8.0,0.0,0,0,0,0,700000,5,2007,0
183,Gunpoint,184,Action,PC,Unknown,Suspicious Developments,0.0,0.0,0.0,0,0,0,0,700000,2,2019,0
184,Dynasty Warriors: Gundam 2,185,Action,All,Bandai Namco,Omega Force,0.0,0.0,0.0,0,0,0,0,700000,4,2009,0
185,Attack on Titan,186,Action,All,Koei Tecmo,Omega Force,0.0,0.0,0.0,0,0,0,0,700000,8,2016,0
186,Metal Gear Rising: Revengeance,187,Action,PC,Konami Digital Entertainment,PlatinumGames,0.0,0.0,0.0,0,0,0,0,690000,1,2014,0
187,Resident Evil VII: Biohazard,188,Action,PC,Capcom,Capcom,0.0,7.9,0.0,0,0,0,0,670000,1,2017,0
188,Akiba,189,Action,Series,Acquire,Acquire,0.0,0.0,0.0,0,0,0,0,660000,5,2011,0
189,Dynasty Warriors 7,190,Action,All,Tecmo Koei,Omega Force,0.0,0.0,0.0,0,0,0,0,660000,3,2011,0
190,Resident Evil: Revelations 2,191,Action,PC,Capcom,Capcom,0.0,0.0,0.0,0,0,0,0,660000,2,2015,0
191,Bayonetta 2,192,Action,All,Nintendo,PlatinumGames,0.0,0.0,0.0,0,0,0,0,650000,10,2014,0
192,Ninja Gaiden 3,193,Action,All,Tecmo Koei,Team Ninja,0.0,0.0,0.0,0,0,0,0,630000,3,2012,0
193,Friday the 13th: The Game,194,Action,PC,Unknown,IllFonic,0.0,0.0,0.0,0,0,0,0,630000,7,2019,0
194,Dead Rising 2,195,Action,PC,Capcom,Blue Castle Games,0.0,7.7,0.0,0,0,0,0,630000,9,2010,0
195,God Eater,196,Action,PSP,D3Publisher,Shift,0.0,0.0,0.0,0,0,0,0,610000,3,2011,0
196,Overcooked,197,Action,PC,Unknown,Ghost Town Games,0.0,0.0,0.0,0,0,0,0,600000,2,2019,0
197,Oddworld: Stranger's Wrath,198,Action,XB,Electronic Arts,Oddworld Inhabitants,0.0,0.0,0.0,0,0,0,0,600000,1,2005,0
198,Mini Ninjas,199,Action,All,Eidos Interactive,IO Interactive,0.0,0.0,0.0,0,0,0,0,600000,9,2009,0
199,Lucius,200,Action,PC,Lace Mamba Global,Shiver Games,0.0,0.0,0.0,0,0,0,0,600000,6,2012,0
200,Hitman: Codename 47,201,Action,PC,Eidos Interactive,IO Interactive,0.0,0.0,0.0,0,0,0,0,590000,11,2000,0
201,Mobile Suit Gundam: Extreme Vs,202,Action,PS3,Namco Bandai Games,Namco Bandai,0.0,0.0,0.0,0,0,0,0,570000,1,2014,0
202,Killer is Dead,203,Action,PC,Unknown,Kadokawa Games,0.0,0.0,0.0,0,0,0,0,550000,2,2019,0
203,Blackwake,204,Action,PC,Unknown,Mastfire Studios Pty Ltd,0.0,0.0,0.0,0,0,0,0,550000,2,2019,0
204,Saints Row: Gat out of Hell,205,Action,PC,Deep Silver,Volition Inc.,0.0,0.0,0.0,0,0,0,0,540000,1,2015,0
205,Dragon Ball: Xenoverse 2,206,Action,PC,Namco Bandai Games,Dimps Corporation,0.0,0.0,0.0,0,0,0,0,540000,10,2016,0
